benchmark,mean_ns,criterion_baseline,commit_or_worktree
classification_1d/std_distribution_with_mask_256,11615,classification1d_after_mask_variant_coverage,587b192
classification_1d/fastchrom_with_mask_256,8727,classification1d_after_mask_variant_coverage,587b192
whittaker_1d/asls_with_history_256,38059,coverage_after_history_custom,ad5f116
whittaker_1d/aspls_with_history_256,252321,coverage_after_history_custom,ad5f116
optimizers_misc_1d/custom_bc_with_256,41420,coverage_after_history_custom,ad5f116
whittaker_1d_into/airpls_into_256,171150,whittaker_into_coverage_2026_05_24,worktree
whittaker_1d_into/arpls_into_256,330674,whittaker_into_coverage_2026_05_24,worktree
whittaker_1d_into/asls_into_256,38707,whittaker_into_coverage_2026_05_24,worktree
whittaker_1d_into/asls_into_with_history_256,38316,whittaker_into_coverage_2026_05_24,worktree
whittaker_1d_into/aspls_into_256,243081,whittaker_into_coverage_2026_05_24,worktree
whittaker_1d_into/aspls_into_with_history_256,243562,whittaker_into_coverage_2026_05_24,worktree
whittaker_1d_into/brpls_into_256,82424,whittaker_into_coverage_2026_05_24,worktree
whittaker_1d_into/drpls_into_256,60044,whittaker_into_coverage_2026_05_24,worktree
whittaker_1d_into/iasls_into_256,47700,whittaker_into_coverage_2026_05_24,worktree
whittaker_2d_into/airpls_into_16x16,948609,whittaker_into_coverage_2026_05_24,worktree
whittaker_2d_into/arpls_into_16x16,5335389,whittaker_into_coverage_2026_05_24,worktree
whittaker_2d_into/asls_into_16x16,658134,whittaker_into_coverage_2026_05_24,worktree
whittaker_2d_into/aspls_into_16x16,1792187,whittaker_into_coverage_2026_05_24,worktree
whittaker_2d_into/brpls_into_16x16,6612086,whittaker_into_coverage_2026_05_24,worktree
whittaker_2d_into/drpls_into_16x16,1092299,whittaker_into_coverage_2026_05_24,worktree
whittaker_2d_into/iarpls_into_16x16,1295771,whittaker_into_coverage_2026_05_24,worktree
whittaker_2d_into/iasls_into_16x16,654446,whittaker_into_coverage_2026_05_24,worktree
whittaker_2d_into/lsrpls_into_16x16,661428,whittaker_into_coverage_2026_05_24,worktree
whittaker_2d_into/psalsa_into_16x16,1672734,whittaker_into_coverage_2026_05_24,worktree
morphology_1d_into/amormol_into_256,226308,nonwhittaker_1d_into_coverage_2026_05_24,worktree
morphology_1d_into/imor_into_256,118878,nonwhittaker_1d_into_coverage_2026_05_24,worktree
morphology_1d_into/jbcd_into_256,124045,nonwhittaker_1d_into_coverage_2026_05_24,worktree
morphology_1d_into/mor_into_256,5692,nonwhittaker_1d_into_coverage_2026_05_24,worktree
morphology_1d_into/mormol_into_256,78239,nonwhittaker_1d_into_coverage_2026_05_24,worktree
morphology_1d_into/mpls_into_256,8895,nonwhittaker_1d_into_coverage_2026_05_24,worktree
morphology_1d_into/mpspline_into_256,33908,nonwhittaker_1d_into_coverage_2026_05_24,worktree
morphology_1d_into/mwmv_into_256,2057,nonwhittaker_1d_into_coverage_2026_05_24,worktree
morphology_1d_into/rolling_ball_into_256,3510,nonwhittaker_1d_into_coverage_2026_05_24,worktree
morphology_1d_into/snip_into_256,8758,nonwhittaker_1d_into_coverage_2026_05_24,worktree
morphology_1d_into/tophat_into_256,2882,nonwhittaker_1d_into_coverage_2026_05_24,worktree
polynomial_1d_into/goldindec_into_256,1235231,nonwhittaker_1d_into_coverage_2026_05_24,worktree
polynomial_1d_into/imodpoly_into_256,35122,nonwhittaker_1d_into_coverage_2026_05_24,worktree
polynomial_1d_into/loess_into_256,79004,nonwhittaker_1d_into_coverage_2026_05_24,worktree
polynomial_1d_into/modpoly_into_256,17595,nonwhittaker_1d_into_coverage_2026_05_24,worktree
polynomial_1d_into/penalized_poly_into_256,14528,nonwhittaker_1d_into_coverage_2026_05_24,worktree
polynomial_1d_into/poly_into_256,2603,nonwhittaker_1d_into_coverage_2026_05_24,worktree
polynomial_1d_into/quant_reg_into_256,120642,nonwhittaker_1d_into_coverage_2026_05_24,worktree
smoothing_1d_into/noise_median_into_256,26152,nonwhittaker_1d_into_coverage_2026_05_24,worktree
smoothing_1d_into/ria_into_256,38939,nonwhittaker_1d_into_coverage_2026_05_24,worktree
smoothing_1d_into/snip_into_256,8860,nonwhittaker_1d_into_coverage_2026_05_24,worktree
smoothing_1d_into/swima_into_256,196235,nonwhittaker_1d_into_coverage_2026_05_24,worktree
morphology_2d_into/imor_into_16x16,414503,nonwhittaker_2d_into_coverage_2026_05_24,worktree
morphology_2d_into/mor_into_16x16,6752,nonwhittaker_2d_into_coverage_2026_05_24,worktree
morphology_2d_into/noise_median_into_16x16,24568,nonwhittaker_2d_into_coverage_2026_05_24,worktree
morphology_2d_into/rolling_ball_into_16x16,7992,nonwhittaker_2d_into_coverage_2026_05_24,worktree
morphology_2d_into/tophat_into_16x16,3386,nonwhittaker_2d_into_coverage_2026_05_24,worktree
optimizers_2d_into/adaptive_minmax_into_16x16,66211,nonwhittaker_2d_into_coverage_2026_05_24,worktree
optimizers_2d_into/individual_axes_into_16x16,41588,nonwhittaker_2d_into_coverage_2026_05_24,worktree
polynomial_2d_into/imodpoly_into_16x16,58849,nonwhittaker_2d_into_coverage_2026_05_24,worktree
polynomial_2d_into/modpoly_into_16x16,65704,nonwhittaker_2d_into_coverage_2026_05_24,worktree
polynomial_2d_into/penalized_poly_into_16x16,82767,nonwhittaker_2d_into_coverage_2026_05_24,worktree
polynomial_2d_into/poly_into_16x16,11194,nonwhittaker_2d_into_coverage_2026_05_24,worktree
polynomial_2d_into/quant_reg_into_16x16,258499,nonwhittaker_2d_into_coverage_2026_05_24,worktree
spline_2d_into/irsqr_into_16x16,284636,nonwhittaker_2d_into_coverage_2026_05_24,worktree
spline_2d_into/mixture_model_into_16x16,56352,nonwhittaker_2d_into_coverage_2026_05_24,worktree
spline_2d_into/pspline_airpls_into_16x16,717573,nonwhittaker_2d_into_coverage_2026_05_24,worktree
spline_2d_into/pspline_arpls_into_16x16,164244,nonwhittaker_2d_into_coverage_2026_05_24,worktree
spline_2d_into/pspline_asls_into_16x16,54910,nonwhittaker_2d_into_coverage_2026_05_24,worktree
spline_2d_into/pspline_brpls_into_16x16,319185,nonwhittaker_2d_into_coverage_2026_05_24,worktree
spline_2d_into/pspline_iarpls_into_16x16,728153,nonwhittaker_2d_into_coverage_2026_05_24,worktree
spline_2d_into/pspline_iasls_into_16x16,122230,pspline_iasls2d_into_after_workspace,worktree
spline_2d_into/pspline_lsrpls_into_16x16,56555,nonwhittaker_2d_into_coverage_2026_05_24,worktree
spline_2d_into/pspline_psalsa_into_16x16,142605,nonwhittaker_2d_into_coverage_2026_05_24,worktree
